C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,Ax,Ay,Az,Gr,Gp,Fx_norm,Fy_norm,Fz_norm
0.645,0.63375,0.6875,0.60625,0.72,0.55625,0.88625,0.85,0.76375,0.71375,0.73875,0.64875,0.46052020436600094,0.5068122000309645,0.9723641430562007,0.5016738403077219,0.48947871806574805,0.7696161763582017,0.5250324689750909,0.44633360778160636
0.645,0.63375,0.6875,0.60625,0.72,0.55625,0.88625,0.85,0.76375,0.71375,0.73875,0.64875,0.45999767765908034,0.5070831398049234,0.9720157919182536,0.5021520803956424,0.48941893805475795,0.7696161763582017,0.5250324689750909,0.44633360778160636
0.645,0.63375,0.6875,0.60625,0.72,0.55625,0.88625,0.85,0.76375,0.71375,0.73875,0.64875,0.459684161634928,0.5072457036692987,0.9718067812354854,0.5024390244483947,0.4893830700481639,0.7696161763582017,0.5250324689750909,0.44633360778160636
0.645,0.63375,0.6875,0.60625,0.72,0.55625,0.88625,0.85,0.76375,0.71375,0.73875,0.64875,0.46028797027403623,0.5073385973060845,0.9715745471435207,0.5024390244483947,0.48880918208290547,0.7696161763582017,0.5250324689750909,0.44633360778160636
0.645,0.63375,0.6875,0.60625,0.72,0.55625,0.88625,0.85,0.76375,0.71375,0.73875,0.64875,0.4607988852763586,0.5073850441244775,0.9712029725963771,0.5030129125538995,0.48880918208290547,0.7696161763582017,0.5250324689750909,0.44633360778160636
0.645,0.63375,0.6877500000000001,0.60625,0.72,0.55625,0.8865000000000001,0.85,0.76375,0.71375,0.7384999999999999,0.64875,0.461216906641895,0.5073850441244775,0.9710636321411983,0.5034433286330279,0.48909612613565784,0.7696161763582017,0.5250324689750909,0.44633360778160636
0.645,0.63375,0.688,0.60625,0.72,0.55625,0.8867499999999999,0.85,0.76375,0.71375,0.7382500000000001,0.64875,0.46158848118903856,0.5073385973060845,0.9714816535067348,0.5031563845802756,0.48967001424116247,0.7696161763582017,0.5250324689750909,0.44633360778160636
0.645,0.63375,0.68825,0.60625,0.72,0.55625,0.887,0.85,0.76375,0.71375,0.738,0.64875,0.46209939619136087,0.5076172782164422,0.97124941941477,0.5024390244483947,0.489239598162034,0.7696161763582017,0.5250324689750909,0.44633360778160636
0.645,0.63375,0.6884999999999999,0.60625,0.72,0.55625,0.88725,0.85,0.76375,0.71375,0.73775,0.64875,0.4624709707385044,0.5083139804923362,0.9712029725963771,0.5011477762110093,0.48967001410091626,0.7696161763582017,0.5250324689750909,0.44633360778160636
0.645,0.63375,0.68875,0.60625,0.72,0.55625,0.8875,0.85,0.76375,0.71375,0.7375,0.64875,0.4620529493729679,0.5086855550394798,0.9714816535067348,0.5008608321582569,0.4898134861272924,0.7696161763582017,0.5250324689750909,0.44633360778160636
0.645,0.63375,0.68875,0.60625,0.72,0.55625,0.8875,0.85,0.76375,0.71375,0.7375,0.64875,0.4614955875522527,0.5089177891314445,0.9718532280538783,0.5001434720263762,0.4899569581536686,0.7696161763582017,0.5250324689750909,0.44633360778160636
0.645,0.63375,0.68875,0.60625,0.72,0.55625,0.8875,0.85,0.76375,0.71375,0.7375,0.64875,0.46182071528100327,0.5096609382257316,0.9717138875986995,0.5001434720263762,0.4902439022064209,0.7696161763582017,0.5250324689750909,0.44633360778160636
0.645,0.63375,0.68875,0.60625,0.72,0.55625,0.8875,0.85,0.76375,0.71375,0.7375,0.64875,0.4614955875522527,0.5093822573153739,0.9726428239665583,0.4997130559472477,0.4906743182855494,0.7696161763582017,0.5250324689750909,0.44633360778160636
